Release Date,Time,Actual,Forecast,Previous,Decision
1998-10-15,13:00:00,5.0,,5.25,-0.25%
1998-11-17,13:00:00,4.75,,5.0,-0.25%
1999-06-30,13:00:00,5.0,,4.75,+0.25%
1999-08-24,13:00:00,5.25,,5.0,+0.25%
1999-11-16,13:00:00,5.5,,5.25,+0.25%
2000-02-02,13:00:00,5.75,,5.5,+0.25%
2000-03-21,13:00:00,6.0,,5.75,+0.25%
2000-05-16,13:00:00,6.5,,6.0,+0.50%
2001-01-03,13:00:00,6.0,,6.5,-0.50%
2001-01-31,13:00:00,5.5,,6.0,-0.50%
2001-03-20,13:00:00,5.0,,5.5,-0.50%
2001-04-18,13:00:00,4.5,,5.0,-0.50%
2001-05-15,13:00:00,4.0,,4.5,-0.50%
2001-06-27,13:00:00,3.75,,4.0,-0.25%
2001-08-21,13:00:00,3.5,,3.75,-0.25%
2001-09-17,13:00:00,3.0,,3.5,-0.50%
2001-10-02,13:00:00,2.5,,3.0,-0.50%
2001-11-06,13:00:00,2.0,,2.5,-0.50%
2001-12-11,13:00:00,1.75,,2.0,-0.25%
2002-11-06,13:00:00,1.25,,1.75,-0.50%
2003-06-25,13:00:00,1.0,,1.25,-0.25%
2004-06-30,13:00:00,1.25,,1.0,+0.25%
2004-08-10,13:00:00,1.5,,1.25,+0.25%
2004-09-21,13:00:00,1.75,,1.5,+0.25%
2004-11-10,13:00:00,2.0,,1.75,+0.25%
2004-12-14,13:00:00,2.25,,2.0,+0.25%
2005-02-02,13:00:00,2.5,,2.25,+0.25%
2005-03-22,13:00:00,2.75,,2.5,+0.25%
2005-05-03,13:00:00,3.0,,2.75,+0.25%
2005-06-30,13:00:00,3.25,,3.0,+0.25%
2005-08-09,13:00:00,3.5,,3.25,+0.25%
2005-09-20,13:00:00,3.75,,3.5,+0.25%
2005-11-01,13:00:00,4.0,,3.75,+0.25%
2005-12-13,13:00:00,4.25,,4.0,+0.25%
2006-01-31,13:00:00,4.5,,4.25,+0.25%
2006-03-28,13:00:00,4.75,,4.5,+0.25%
2006-05-10,13:00:00,5.0,,4.75,+0.25%
2006-06-29,13:00:00,5.25,,5.0,+0.25%
2007-09-18,13:00:00,4.75,,5.25,-0.50%
2007-10-31,13:00:00,4.5,,4.75,-0.25%
2007-12-11,13:00:00,4.25,,4.5,-0.25%
2008-01-22,13:15:00,3.5,,4.25,-0.75%
2008-01-30,13:15:00,3.0,,3.5,-0.50%
2008-03-18,13:15:00,2.25,2.50%,3.0,-0.75%
2008-04-30,13:15:00,2.0,2.00%,2.25,-0.25%
2008-06-25,13:15:00,2.0,2.00%,2.0,+0.00%
2008-08-05,13:15:00,2.0,,2.0,+0.00%
2008-09-16,13:15:00,2.0,2.00%,2.0,+0.00%
2008-10-08,06:00:00,1.5,,2.0,-0.50%
2008-10-29,13:15:00,1.0,1.00%,1.5,-0.50%
2008-12-16,14:15:00,0.25,0.50%,1.0,-0.75%
2009-01-28,14:15:00,0.25,0.25%,0.25,+0.00%
2009-03-18,13:15:00,0.25,0.25%,0.25,+0.00%
2009-04-29,13:15:00,0.25,0.25%,0.25,+0.00%
2009-06-24,13:15:00,0.25,0.25%,0.25,+0.00%
2009-08-12,13:15:00,0.25,0.25%,0.25,+0.00%
2009-09-23,13:15:00,0.25,0.25%,0.25,+0.00%
2009-11-04,14:15:00,0.25,0.25%,0.25,+0.00%
2009-12-16,14:15:00,0.25,0.25%,0.25,+0.00%
2010-01-27,14:15:00,0.25,0.25%,0.25,+0.00%
